"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";comment;Link;price
1;"TP1";"TestPoint_Pad_D6.0mm_spring";1;"Flashlight_+";;Spring, 6mm diameter 25° banking if available, for + terminal;https://de.aliexpress.com/item/1005005667884016.html?spm=a2g0o.productlist.main.17.d7a5520bEGHJaV&algo_pvid=325fb4b7-e53f-416c-b217-a20c779ab100&pdp_ext_f=%7B%22order%22%3A%22512%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005667884016%7C_p_origin_prod%3A;
2;"U1";"Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm";1;"BQ25185DLHR";;digikey, pretty expensive;https://www.digikey.com/en/products/detail/texas-instruments/BQ25185DLHR/21769368;2.28
3;"D3";"DIO_PMEG6010CEJF";1;"60V, 1A cont.";;not available, see alternatives;https://de.aliexpress.com/item/1005012406460192.html?spm=a2g0o.productlist.main.3.5983xcpmxcpmOe&algo_pvid=adb199b2-bacc-4bec-815c-32a823bd4557&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012406460192%7C_p_origin_prod%3A;
4;"D1,D2";"LED_0603_1608Metric";2;"LED";;1000pcs reel;https://de.aliexpress.com/item/1005009084941790.html?spm=a2g0o.productlist.main.1.21a8RNQ7RNQ70J&algo_pvid=40aae884-281b-4fec-aa83-a019a8a9abd3&pdp_ext_f=%7B%22order%22%3A%22250%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009084941790%7C_p_origin_prod%3A;4.25
5;"C2";"C_0402_1005Metric";1;"22µF";;50pcs;https://de.aliexpress.com/item/1005005108653334.html?spm=a2g0o.productlist.main.1.6387NE63NE63g8&algo_pvid=e1d436e9-287a-471f-a688-b7dbde10cbaa&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005108653334%7C_p_origin_prod%3A;3.47
6;"C1,C3";"C_0402_1005Metric";2;"4.7µF";;6.3v 50pcs;https://de.aliexpress.com/item/1005012364450156.html?spm=a2g0o.productlist.main.2.3368NZ02NZ02v3&algo_pvid=2c93bd86-065c-4f80-9544-774b44f1b4c4&pdp_ext_f=%7B%22order%22%3A%22398%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012364450156%7C_p_origin_prod%3A;1.31
7;"R4,R5,R3";"R_0402_1005Metric";3;"1kΩ";;100pcs;https://de.aliexpress.com/item/1005008851185252.html?spm=a2g0o.productlist.main.4.5d7e1366KDNbN5&aem_p4p_detail=20260720163116734729206645200000541789&algo_pvid=3ddbf2cf-063a-4856-bcf3-1d5bbe163094&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008851185252%7C_p_origin_prod%3A&search_p4p_id=20260720163116734729206645200000541789_1;0.21
8;"R6";"R_0402_1005Metric";1;"18kΩ";;;https://de.aliexpress.com/item/1005008851185252.html?spm=a2g0o.productlist.main.4.5d7e1366KDNbN5&aem_p4p_detail=20260720163116734729206645200000541789&algo_pvid=3ddbf2cf-063a-4856-bcf3-1d5bbe163094&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008851185252%7C_p_origin_prod%3A&search_p4p_id=20260720163116734729206645200000541789_1;0.21
9;"R7";"R_0402_1005Metric";1;"390Ω";;;https://de.aliexpress.com/item/1005008851185252.html?spm=a2g0o.productlist.main.4.5d7e1366KDNbN5&aem_p4p_detail=20260720163116734729206645200000541789&algo_pvid=3ddbf2cf-063a-4856-bcf3-1d5bbe163094&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008851185252%7C_p_origin_prod%3A&search_p4p_id=20260720163116734729206645200000541789_1;0.21
10;"F1";"0402L100SLKR";1;"1A hold, 2A trip";;digikey, pretty expensive;https://www.digikey.com/en/products/detail/littelfuse-inc/0402L100SLKR/12807017;3.28
11;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;5pcs;https://de.aliexpress.com/item/1005006531774076.html?spm=a2g0o.productlist.main.2.24b074404GTVp2&algo_pvid=67b3eeed-46ab-46a6-bde6-63a9bdcc833b&pdp_ext_f=%7B%22order%22%3A%224873%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006531774076%7C_p_origin_prod%3A;10.39
12;"R8";"R_0402_1005Metric";1;"10kΩ";;;https://de.aliexpress.com/item/1005008851185252.html?spm=a2g0o.productlist.main.4.5d7e1366KDNbN5&aem_p4p_detail=20260720163116734729206645200000541789&algo_pvid=3ddbf2cf-063a-4856-bcf3-1d5bbe163094&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008851185252%7C_p_origin_prod%3A&search_p4p_id=20260720163116734729206645200000541789_1;0.21
